page,match,innings,category,discrepancy,numeric,sparseness
256,"PERAK v PENANG (March 23, 24 and 25, 1951)",PENANG inn 2,batting_total,"batting (106) + extras (15) = 121, but total is 117 (+4)",4,0.0
256,"PERAK v PENANG (March 23, 24 and 25, 1951)",PENANG inn 2,fow_count,10 FOW entries but wickets=9,1,0.0
259,"Singapore v Melaka (June 16 and 17, 1951)",Singapore inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 6w,-6,0.0
259,"Singapore v Melaka (June 16 and 17, 1951)",Singapore inn 1,fow_count,0 FOW entries but wickets=7,-7,0.0
260,"Selangor v Negeri Sembilan (June 16 and 17, 1951)",Negeri Sembilan inn 1,batting_total,"batting (100) + extras (9) = 109, but total is 115 (-6)",-6,0.0
261,"NEGERI SEMBILAN v SINGAPORE (June 30 and July 1, 1951)",NEGERI SEMBILAN inn 1,dismissal_wickets,bowling figures total 8w but 9 bowler-credited dismissals,-1,0.0
261,"NEGERI SEMBILAN v SINGAPORE (June 30 and July 1, 1951)",NEGERI SEMBILAN inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
261,"NEGERI SEMBILAN v SINGAPORE (June 30 and July 1, 1951)",NEGERI SEMBILAN inn 2,fow_count,7 FOW entries but wickets=10,-3,0.0
261,"NEGERI SEMBILAN v SINGAPORE (June 30 and July 1, 1951)",SINGAPORE inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
261,"NEGERI SEMBILAN v SINGAPORE (June 30 and July 1, 1951)",SINGAPORE inn 2,fow_count,6 FOW entries but wickets=10,-4,0.0
262,"Penang v Selangor (July 7, 8 and 9, 1951)",Selangor inn 1,batting_total,"batting (71) + extras (7) = 78, but total is 76 (+2)",2,0.0
265,"Melaka v Negeri Sembilan (July 28 and 29, 1951)",Melaka inn 1,batting_total,"batting (84) + extras (3) = 87, but total is 118 (-31)",-31,0.02
265,"Melaka v Negeri Sembilan (July 28 and 29, 1951)",Melaka inn 2,batting_total,"batting (35) + extras (0) = 35, but total is 52 (-17)",-17,0.32
266,"Melaka v Johor (August 4 and 5, 1951)",Johor inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 3w,-3,0.0
266,"Melaka v Johor (August 4 and 5, 1951)",Johor inn 2,dismissal_wickets,bowling figures total 0w but 7 bowler-credited dismissals,-7,0.34
269,"Singapore v Selangor (April 12 and 13, 1952)",Selangor inn 2,fow_ascending,"FOW not ascending: [3, 6, 18, 22, 29, 45, 68, 72, 90, 86]",,0.0
269,"Singapore v Selangor (April 12 and 13, 1952)",Singapore inn 1,fow_ascending,"FOW not ascending: [50, 17, 28, 35, 41, 45, 64, 79, 86, 110]",,0.0
271,"Perak v Selangor (May 3 and 4, 1952)",Perak inn 1,fow_ascending,"FOW not ascending: [11, 93, 16, 74, 84, 89, 125, 148, 156, 157]",,0.0
273,"NEGERI SEMBILAN v MELAKA (May 17 and 18, 1952)",MELAKA inn 1,batting_total,"batting (158) + extras (3) = 161, but total is 174 (-13)",-13,0.0
274,"NEGERI SEMBILAN v SELANGOR (June 7 and 8, 1952)",NEGERI SEMBILAN inn 1,dismissal_wickets,Gurucharan Singh: bowling says 0w but dismissals say 1w,-1,0.0
274,"NEGERI SEMBILAN v SELANGOR (June 7 and 8, 1952)",NEGERI SEMBILAN inn 2,dismissal_wickets,Gurucharan Singh: bowling says 0w but dismissals say 2w,-2,0.0
276,"NEGERI SEMBILAN v PERAK (June 22 and 23, 1952)",NEGERI SEMBILAN inn 1,batting_total,"batting (91) + extras (25) = 116, but total is 149 (-33)",-33,0.0
276,"NEGERI SEMBILAN v PERAK (June 22 and 23, 1952)",NEGERI SEMBILAN inn 2,batting_total,"batting (126) + extras (11) = 137, but total is 131 (+6)",6,0.0
277,"Selangor v Penang (June 22, 23 and 24, 1952)",Penang inn 1,dismissal_wickets,Lakhbir Singh: bowling says 0w but dismissals say 2w,-2,0.0
277,"Selangor v Penang (June 22, 23 and 24, 1952)",Penang inn 2,fow_final_value,last FOW is 239 but all-out total is 236,3,0.0
278,"Singapore v Johor (June 28 and 29, 1952)",Singapore inn 1,batting_total,"batting (191) + extras (7) = 198, but total is 201 (-3)",-3,0.0
279,"Melaka v Singapore (June 28 and 29, 1952)",Singapore inn 1,batting_total,"batting (165) + extras (15) = 180, but total is 184 (-4)",-4,0.0
280,"SELANGOR v MELAKA (July 5 and 6, 1952)",SELANGOR inn 1,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 2w,-2,0.02
281,"KEDAH v PERAK (August 30 and 31, 1952)",KEDAH inn 1,batting_total,"batting (33) + extras (7) = 40, but total is 39 (+1)",1,0.0
281,"KEDAH v PERAK (August 30 and 31, 1952)",PERAK inn 1,dismissal_wickets,SE Augustin: bowling says 0w but dismissals say 1w,-1,0.0
283,"Perak v Penang (April 4, 5 and 6, 1953)",Penang inn 1,batting_total,"batting (47) + extras (3) = 50, but total is 47 (+3)",3,0.0
283,"Perak v Penang (April 4, 5 and 6, 1953)",Penang inn 2,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
285,"Negeri Sembilan v Pahang (May 23 and 24, 1953)",Negeri Sembilan inn 1,batting_total,"batting (204) + extras (0) = 204, but total is 257 (-53)",-53,0.84
285,"Negeri Sembilan v Pahang (May 23 and 24, 1953)",Pahang inn 1,batting_total,"batting (98) + extras (0) = 98, but total is 0 (+98)",98,0.6
286,"Negeri Sembilan v Melaka (June 13 and 14, 1953)",Negeri Sembilan inn 1,batting_total,"batting (145) + extras (9) = 154, but total is 84 (+70)",70,0.0
286,"Negeri Sembilan v Melaka (June 13 and 14, 1953)",Melaka inn 1,batting_total,"batting (105) + extras (10) = 115, but total is 68 (+47)",47,0.0
286,"Negeri Sembilan v Melaka (June 13 and 14, 1953)",Negeri Sembilan inn 2,batting_total,"batting (31) + extras (0) = 31, but total is 109 (-78)",-78,0.43
286,"Negeri Sembilan v Melaka (June 13 and 14, 1953)",Melaka inn 2,batting_total,"batting (7) + extras (0) = 7, but total is 113 (-106)",-106,0.48
287,"PAHANG v PERAK (June 13 and 14, 1953)",PAHANG inn 1,fow_count,11 FOW entries but wickets=10,1,0.0
287,"PAHANG v PERAK (June 13 and 14, 1953)",PERAK inn 1,batting_total,"batting (176) + extras (1) = 177, but total is 178 (-1)",-1,0.0
290,"Singapore v Melaka (July 4 and 5, 1953)",Singapore inn 1,fow_ascending,"FOW not ascending: [14, 5, 38, 38, 72, 72, 132, 146, 146, 152]",,0.0
290,"Singapore v Melaka (July 4 and 5, 1953)",Singapore inn 1,fow_final_value,last FOW is 152 but all-out total is 213,-61,0.0
290,"Singapore v Melaka (July 4 and 5, 1953)",Melaka inn 1,fow_ascending,"FOW not ascending: [14, 5, 30, 72, 72, 73, 144, 146, 146, 152]",,0.0
292,"PENANG v KEDAH (July 18 and 19, 1953)",PENANG inn 1,dismissal_wickets,HE Augustin: bowling says 0w but dismissals say 7w,-7,0.0
296,"PERAK v PENANG (April 17 and 18, 1954)",PENANG inn 1,batting_total,"batting (52) + extras (0) = 52, but total is 84 (-32)",-32,0.25
296,"PERAK v PENANG (April 17 and 18, 1954)",PENANG inn 1,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.25
296,"PERAK v PENANG (April 17 and 18, 1954)",PENANG inn 2,fow_count,4 FOW entries but wickets=6,-2,0.11
297,"Perak v Selangor (May 1 and 2, 1954)",Perak inn 2,batting_total,"batting (48) + extras (0) = 48, but total is 63 (-15)",-15,0.6
298,"Pahang v Negeri Sembilan (May 22 and 23, 1954)",Negeri Sembilan inn 1,batting_total,"batting (97) + extras (0) = 97, but total is 92 (+5)",5,0.57
298,"Pahang v Negeri Sembilan (May 22 and 23, 1954)",Pahang inn 1,batting_total,"batting (53) + extras (0) = 53, but total is 77 (-24)",-24,0.52
300,"Selangor v Penang (June 5 and 6, 1954)",Selangor inn 1,dismissal_wickets,CEA LaBrooy: bowling says 0w but dismissals say 3w,-3,0.07
300,"Selangor v Penang (June 5 and 6, 1954)",Penang inn 1,batting_total,"batting (74) + extras (6) = 80, but total is 70 (+10)",10,0.0
300,"Selangor v Penang (June 5 and 6, 1954)",Penang inn 1,dismissal_wickets,Duleep Singh: bowling says 0w but dismissals say 5w,-5,0.0
300,"Selangor v Penang (June 5 and 6, 1954)",Penang inn 2,batting_total,"batting (149) + extras (8) = 157, but total is 199 (-42)",-42,0.0
302,"MELAKA v NEGERI SEMBILAN (June 12 and 13, 1954)",MELAKA inn 2,batting_total,"batting (65) + extras (0) = 65, but total is 140 (-75)",-75,0.68
302,"MELAKA v NEGERI SEMBILAN (June 12 and 13, 1954)",NEGERI SEMBILAN inn 1,batting_total,"batting (41) + extras (48) = 89, but total is 113 (-24)",-24,0.07
304,Negeri Sembilan v Selangor (July 3 and 4 1954),Selangor inn 1,batting_total,"batting (179) + extras (6) = 185, but total is 189 (-4)",-4,0.0
306,"SELANGOR v MELAKA (July 17 and 18, 1954)",SELANGOR inn 1,fow_count,8 FOW entries but wickets=10,-2,0.0
306,"SELANGOR v MELAKA (July 17 and 18, 1954)",MELAKA inn 2,batting_total,"batting (92) + extras (5) = 97, but total is 104 (-7)",-7,0.0
306,"SELANGOR v MELAKA (July 17 and 18, 1954)",MELAKA inn 2,dismissal_wickets,bowling figures total 9w but 10 bowler-credited dismissals,-1,0.0
307,"PENANG v KEDAH (July 17 and 18, 1954)",PENANG inn 2,dismissal_wickets,JP Augustin: bowling says 0w but dismissals say 1w,-1,0.09
308,"Singapore v Johor (August 14 and 15, 1954)",Singapore inn 1,batting_total,"batting (191) + extras (18) = 209, but total is 208 (+1)",1,0.11
309,"PERAK v KEDAH (August 14 and 15, 1954)",PERAK inn 1,dismissal_wickets,JP Augustin: bowling says 0w but dismissals say 8w,-8,0.0
309,"PERAK v KEDAH (August 14 and 15, 1954)",PERAK inn 1,fow_count,11 FOW entries but wickets=10,1,0.0
310,"Negeri Sembilan v Johor (April 2 and 3, 1955)",Johor inn 1,batting_total,"batting (73) + extras (8) = 81, but total is 133 (-52)",-52,0.27
312,"PAHANG v PERAK (April 16 and 17, 1955)",PAHANG inn 1,batting_total,"batting (98) + extras (0) = 98, but total is 121 (-23)",-23,0.68
312,"PAHANG v PERAK (April 16 and 17, 1955)",PERAK inn 1,batting_total,"batting (133) + extras (0) = 133, but total is 177 (-44)",-44,0.6
312,"PAHANG v PERAK (April 16 and 17, 1955)",PAHANG inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 113 (-113)",-113,1.0
312,"PAHANG v PERAK (April 16 and 17, 1955)",PERAK inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 58 (-58)",-58,1.0
313,"Selangor v Perak (May 7 and 8, 1955)",Perak inn 1,dismissal_wickets,Gurucharan Singh: bowling says 0w but dismissals say 1w,-1,0.0
313,"Selangor v Perak (May 7 and 8, 1955)",Perak inn 2,batting_total,"batting (77) + extras (0) = 77, but total is 125 (-48)",-48,0.5
314,"Negeri Sembilan v Melaka (May 21 and 22, 1955)",Melaka inn 1,batting_total,"batting (312) + extras (0) = 312, but total is 240 (+72)",72,0.86
314,"Negeri Sembilan v Melaka (May 21 and 22, 1955)",Negeri Sembilan inn 1,batting_total,"batting (224) + extras (0) = 224, but total is 323 (-99)",-99,0.51
316,"MELAKA v SELANGOR (June 4 and 5, 1955)",SELANGOR inn 1,batting_total,"batting (144) + extras (46) = 190, but total is 213 (-23)",-23,0.57
316,"MELAKA v SELANGOR (June 4 and 5, 1955)",MELAKA inn 1,batting_total,"batting (124) + extras (88) = 212, but total is 0 (+212)",212,0.41
317,"SELANGOR v NEGERI SEMBILAN (June 18 and 19, 1955)",NEGERI SEMBILAN inn 1,dismissal_wickets,Duleep Singh: bowling says 0w but dismissals say 3w,-3,0.0
319,"PERAK v NEGERI SEMBILAN (July 9 and 10, 1955)",PERAK inn 1,batting_total,"batting (205) + extras (9) = 214, but total is 210 (+4)",4,0.25
319,"PERAK v NEGERI SEMBILAN (July 9 and 10, 1955)",PERAK inn 1,dismissal_wickets,bowling figures total 0w but 10 bowler-credited dismissals,-10,0.25
319,"PERAK v NEGERI SEMBILAN (July 9 and 10, 1955)",NEGERI SEMBILAN inn 1,batting_total,"batting (137) + extras (162) = 299, but total is 0 (+299)",299,0.1
319,"PERAK v NEGERI SEMBILAN (July 9 and 10, 1955)",NEGERI SEMBILAN inn 2,batting_total,"batting (0) + extras (84) = 84, but total is 0 (+84)",84,0.5
319,"PERAK v NEGERI SEMBILAN (July 9 and 10, 1955)",PERAK inn 2,batting_total,"batting (0) + extras (98) = 98, but total is 0 (+98)",98,0.5
320,"PENANG v SELANGOR (July 9 and 10, 1955)",PENANG inn 2,batting_total,"batting (1) + extras (0) = 1, but total is 15 (-14)",-14,0.45
320,"PENANG v SELANGOR (July 9 and 10, 1955)",SELANGOR inn 1,batting_total,"batting (98) + extras (8) = 106, but total is 126 (-20)",-20,0.14
321,"PENANG v KEDAH (July 16 and 17, 1955)",PENANG inn 1,batting_total,"batting (100) + extras (0) = 100, but total is 130 (-30)",-30,0.89
321,"PENANG v KEDAH (July 16 and 17, 1955)",KEDAH inn 1,batting_total,"batting (169) + extras (0) = 169, but total is 227 (-58)",-58,0.85
321,"PENANG v KEDAH (July 16 and 17, 1955)",PENANG inn 2,batting_total,"batting (34) + extras (0) = 34, but total is 117 (-83)",-83,0.89
321,"PENANG v KEDAH (July 16 and 17, 1955)",KEDAH inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 22 (-22)",-22,1.0
322,"Melaka v Johor (July 23 and 24, 1955)",Johor inn 2,batting_total,"batting (40) + extras (14) = 54, but total is 48 (+6)",6,0.0
323,"Perak v Kedah (September 3 and 4, 1955)",Kedah inn 1,batting_total,"batting (129) + extras (8) = 137, but total is 71 (+66)",66,0.0
323,"Perak v Kedah (September 3 and 4, 1955)",Perak inn 1,batting_total,"batting (188) + extras (0) = 188, but total is 224 (-36)",-36,0.82
324,"Johor v Singapore (September 3 and 4, 1955)",Johor inn 1,dismissal_wickets,bowling figures total 3w but 9 bowler-credited dismissals,-6,0.0
324,"Johor v Singapore (September 3 and 4, 1955)",Johor inn 2,batting_total,"batting (27) + extras (0) = 27, but total is 91 (-64)",-64,0.47
324,"Johor v Singapore (September 3 and 4, 1955)",Singapore inn 2,batting_total,"batting (60) + extras (0) = 60, but total is 96 (-36)",-36,0.41
325,"Perak v Selangor (May 5 and 6, 1956)",Perak inn 1,batting_total,"batting (81) + extras (2) = 83, but total is 85 (-2)",-2,0.0
326,"SELANGOR v SINGAPORE (May 26, 27 and 28, 1956)",SINGAPORE inn 1,batting_total,"batting (126) + extras (2) = 128, but total is 126 (+2)",2,0.0
326,"SELANGOR v SINGAPORE (May 26, 27 and 28, 1956)",SINGAPORE inn 2,fow_ascending,"FOW not ascending: [11, 25, 8, 25, 39, 91, 91, 109, 126, 131]",,0.0
328,"NEGERI SEMBILAN v MELAKA (June 9 and 10, 1956)",NEGERI SEMBILAN inn 1,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 3w,-3,0.05
328,"NEGERI SEMBILAN v MELAKA (June 9 and 10, 1956)",NEGERI SEMBILAN inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 3w,-3,0.05
328,"NEGERI SEMBILAN v MELAKA (June 9 and 10, 1956)",MELAKA inn 2,batting_total,"batting (80) + extras (7) = 87, but total is 86 (+1)",1,0.0
329,"PENANG v PERAK (June 9 and 10, 1956)",PENANG inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
329,"PENANG v PERAK (June 9 and 10, 1956)",PENANG inn 2,fow_count,9 FOW entries but wickets=10,-1,0.0
330,"Selangor v Pahang (June 9 and 10, 1956)",Selangor inn 1,batting_total,"batting (189) + extras (6) = 195, but total is 204 (-9)",-9,0.0
333,"NEGERI SEMBILAN v PERAK (July 7 and 8, 1956)",PERAK inn 1,batting_total,"batting (159) + extras (4) = 163, but total is 166 (-3)",-3,0.0
335,"SELANGOR v MELAKA (July 14 and 15, 1956)",SELANGOR inn 1,dismissal_wickets,H Sequerah: bowling says 0w but dismissals say 1w,-1,0.05
337,"PENANG v KEDAH (July 14 and 15, 1956)",PENANG inn 1,batting_total,"batting (129) + extras (0) = 129, but total is 154 (-25)",-25,0.37
337,"PENANG v KEDAH (July 14 and 15, 1956)",KEDAH inn 1,batting_total,"batting (48) + extras (0) = 48, but total is 98 (-50)",-50,0.57
338,"PERAK v PAHANG (July 21 and 22, 1956)",PERAK inn 2,batting_total,"batting (71) + extras (0) = 71, but total is 112 (-41)",-41,0.93
338,"PERAK v PAHANG (July 21 and 22, 1956)",PAHANG inn 1,batting_total,"batting (32) + extras (0) = 32, but total is 0 (+32)",32,0.46
339,"Johor v Melaka (July 28 and 29, 1956)",Johor inn 1,dismissal_wickets,H Sequerah: bowling says 0w but dismissals say 4w,-4,0.0
339,"Johor v Melaka (July 28 and 29, 1956)",Johor inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 4w,-4,0.0
339,"Johor v Melaka (July 28 and 29, 1956)",Melaka inn 1,batting_total,"batting (62) + extras (2) = 64, but total is 72 (-8)",-8,0.0
345,"MELAKA v JOHOR (June 8 and 9, 1957)",MELAKA inn 1,batting_total,"batting (241) + extras (30) = 271, but total is 301 (-30)",-30,0.25
345,"MELAKA v JOHOR (June 8 and 9, 1957)",JOHOR inn 1,dismissal_wickets,H Sequerah: bowling says 0w but dismissals say 4w,-4,0.0
346,"PENANG v KEDAH (June 8 and 9, 1957)",PENANG inn 1,batting_total,"batting (0) + extras (6) = 6, but total is 213 (-207)",-207,0.5
346,"PENANG v KEDAH (June 8 and 9, 1957)",PENANG inn 2,dismissal_wickets,bowling figures total 6w but 9 bowler-credited dismissals,-3,0.0
346,"PENANG v KEDAH (June 8 and 9, 1957)",PENANG inn 2,dismissal_wickets,JP Augustin: bowling says 0w but dismissals say 3w,-3,0.0
347,"Negeri Sembilan v Melaka (June 22 and 23, 1957)",Melaka inn 1,batting_total,"batting (107) + extras (5) = 112, but total is 137 (-25)",-25,0.05
347,"Negeri Sembilan v Melaka (June 22 and 23, 1957)",Negeri Sembilan inn 1,dismissal_wickets,S Sequerah: bowling says 0w but dismissals say 2w,-2,0.0
347,"Negeri Sembilan v Melaka (June 22 and 23, 1957)",Negeri Sembilan inn 2,dismissal_wickets,H Sequerah: bowling says 0w but dismissals say 5w,-5,0.0
348,"Perak v Kedah (June 22 and 23, 1957)",Perak inn 2,batting_total,"batting (140) + extras (4) = 144, but total is 154 (-10)",-10,0.14
348,"Perak v Kedah (June 22 and 23, 1957)",Perak inn 2,dismissal_wickets,SE Augustin: bowling says 0w but dismissals say 1w,-1,0.14
352,"SINGAPORE v MELAKA (July 20 and 21, 1957)",SINGAPORE inn 1,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 3w,-3,0.0
352,"SINGAPORE v MELAKA (July 20 and 21, 1957)",SINGAPORE inn 2,dismissal_wickets,J Sequerah: bowling says 0w but dismissals say 3w,-3,0.0
353,"Perak v Pahang (July 20, 21, 1957)",Pahang inn 1,batting_total,"batting (64) + extras (7) = 71, but total is 85 (-14)",-14,0.0
354,"PERAK v NEGERI SEMBILAN (July 28 and 29, 1957)",PERAK inn 1,batting_total,"batting (149) + extras (17) = 166, but total is 116 (+50)",50,0.0
354,"PERAK v NEGERI SEMBILAN (July 28 and 29, 1957)",NEGERI SEMBILAN inn 1,batting_total,"batting (101) + extras (4) = 105, but total is 197 (-92)",-92,0.13
