page,match,innings,category,discrepancy,numeric,sparseness
96,"Selangor v Negeri Sembilan (January 14 and 15, 1911)",Selangor inn 1,batting_total,"batting (0) + extras (6) = 6, but total is 66 (-60)",-60,0.75
96,"Selangor v Negeri Sembilan (January 14 and 15, 1911)",Selangor inn 2,batting_total,"batting (0) + extras (94) = 94, but total is 105 (-11)",-11,0.75
97,"Singapore v Selangor (April 15 and 17, 1911)",Selangor inn 2,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
98,"PENANG v PERAK (April 15 and 17, 1911)",PERAK inn 2,fow_ascending,"FOW not ascending: [31, 39, 40, 51, 73, 59, 75, 79, 84, 98]",,0.0
100,"SINGAPORE v MELAKA (June 3 and 5, 1911)",MELAKA inn 1,fow_count,7 FOW entries but wickets=10,-3,0.0
100,"SINGAPORE v MELAKA (June 3 and 5, 1911)",MELAKA inn 2,fow_count,3 FOW entries but wickets=10,-7,0.0
102,"NEGERI SEMBILAN v SELANGOR (September 24 and 25, 1911)",NEGERI SEMBILAN inn 1,batting_total,"batting (209) + extras (0) = 209, but total is 0 (+209)",209,0.91
103,"PENANG v PERAK (December 25 and 26, 1911)",PERAK inn 1,fow_count,8 FOW entries but wickets=all out (10),-2,0.0
103,"PENANG v PERAK (December 25 and 26, 1911)",PENANG inn 2,fow_final_value,last FOW is 97 but all-out total is 111,-14,0.0
103,"PENANG v PERAK (December 25 and 26, 1911)",PERAK inn 2,fow_count,9 FOW entries but wickets=all out (10),-1,0.0
104,"Singapore v Negeri Sembilan (February 17 and 19, 1912)",Singapore inn 1,fow_count,5 FOW entries but wickets=6,-1,0.0
104,"Singapore v Negeri Sembilan (February 17 and 19, 1912)",Negeri Sembilan inn 2,fow_count,8 FOW entries but wickets=all out (10),-2,0.0
106,"Selangor v Negeri Sembilan (June 1 and 3, 1912)",Selangor inn 1,batting_total,"batting (331) + extras (0) = 331, but total is 241 (+90)",90,0.85
107,"SELANGOR v SINGAPORE (August 3 and 5, 1912)",SELANGOR inn 2,batting_total,"batting (0) + extras (0) = 0, but total is 104 (-104)",-104,1.0
110,"Selangor v Perak (May 10 and 12, 1913)",Selangor inn 1,fow_count,9 FOW entries but wickets=10,-1,0.0
